id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19	top_20	top_21	top_22	top_23	top_24	top_25	top_26	top_27	top_28	top_29	top_30	top_31	top_32	top_33	top_34	top_35	top_36	top_37	top_38	top_39	top_40	top_41	top_42	top_43	top_44	top_45	top_46	top_47	top_48	top_49
170	283	41	261	81	173	23	131	709	203	338	10	247	83	196	155	403	265	8	45	290	90	274	67	21	177	134	54	142	110	376	281	164	246	181	82	564	18	209	256	197	353	331	16	238	441	387	333	80	148	208
91	338	83	709	246	197	331	26	649	217	638	79	504	142	342	53	642	70	312	498	61	462	729	125	107	235	78	561	112	75	244	87	478	108	460	183	117	126	793	317	382	449	392	471	399	72	336	7	121	291	293
179	283	23	356	180	203	114	60	76	109	176	265	10	290	83	246	709	164	209	17	256	238	197	387	80	8	16	331	67	148	288	165	54	110	217	253	359	18	5	44	313	340	92	333	501	37	564	201	441	649	25
16	356	176	114	131	109	203	247	196	128	155	90	274	403	21	177	134	54	82	209	197	238	353	387	80	142	441	165	537	253	145	524	5	115	340	78	92	501	189	37	201	112	318	748	574	362	25	117	91	544	360
57	283	23	60	173	176	338	155	45	709	246	17	164	209	256	403	197	387	148	288	95	26	54	165	110	281	217	253	359	638	79	313	44	340	333	564	394	649	282	501	441	201	504	189	4	362	145	524	91	544	342
99	283	39	356	60	173	76	176	109	338	48	10	45	83	90	709	21	177	17	233	181	209	82	8	403	256	80	288	331	353	148	54	95	110	18	217	537	253	638	649	333	564	5	313	340	92	394	282	441	501	37
223	283	41	261	81	76	176	60	114	23	131	109	709	196	128	155	265	649	17	8	45	90	288	21	177	134	233	376	142	164	246	181	82	209	18	197	353	16	387	80	441	333	148	208	78	95	26	145	165	524	285
9	76	23	131	709	10	196	128	155	17	403	649	233	376	164	54	256	387	142	564	148	95	26	165	217	537	145	638	524	115	78	79	5	313	44	340	282	394	92	501	201	748	318	4	117	199	91	46	53	392	312
194	283	39	48	41	261	60	114	356	173	109	112	338	403	10	8	81	83	288	564	281	17	457	54	268	67	30	110	689	23	180	734	441	131	524	606	145	18	125	567	748	115	199	333	70	203	543	1006	107	247	360
103	60	81	23	180	131	403	203	247	285	67	54	196	112	128	155	392	265	290	90	274	45	233	21	134	177	589	164	376	70	748	132	82	220	181	256	353	246	209	197	331	457	16	107	318	208	689	606	387	148	238
