id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19	top_20	top_21	top_22	top_23	top_24	top_25	top_26	top_27	top_28	top_29	top_30	top_31	top_32	top_33	top_34	top_35	top_36	top_37	top_38	top_39	top_40	top_41	top_42	top_43	top_44	top_45	top_46	top_47	top_48	top_49
170	283	709	41	261	173	338	10	81	142	23	403	83	54	460	8	285	564	131	78	67	203	392	110	70	281	247	117	155	317	112	377	274	290	196	441	45	164	18	90	353	265	524	115	145	82	177	209	223	639	208
91	709	649	338	142	83	460	78	392	70	117	317	112	132	223	197	589	33	246	26	504	331	125	638	107	229	79	38	217	235	457	53	84	478	121	512	689	144	788	30	268	498	216	734	312	462	642	336	342	729	293
179	283	76	709	176	649	356	60	114	10	142	180	109	23	83	54	460	8	564	285	78	67	17	203	392	110	70	117	288	317	112	377	290	441	164	18	132	265	524	145	209	223	639	197	199	256	589	33	148	246	16
16	176	356	114	142	109	403	54	460	131	78	203	392	247	128	117	155	317	112	377	274	196	441	90	132	353	524	115	145	82	177	209	223	639	21	134	197	589	33	748	80	318	229	238	387	253	38	457	235	537	360
57	283	709	176	649	60	173	338	142	23	403	54	460	564	285	78	17	392	110	281	117	288	155	112	377	441	45	164	132	524	145	209	223	639	197	95	199	256	589	33	148	246	26	359	504	125	333	638	107	387	79
99	283	76	709	39	176	48	649	356	60	173	338	10	142	109	403	83	54	8	564	285	78	17	392	110	117	288	317	112	377	441	45	18	90	132	353	233	524	115	145	82	177	209	223	639	21	181	95	199	256	589
223	283	76	709	176	41	261	649	60	114	81	142	109	23	460	8	285	131	78	17	392	128	117	288	155	317	112	377	196	441	45	164	18	90	132	353	265	524	233	115	145	82	177	209	223	639	208	376	21	134	197
9	76	709	649	10	142	23	403	54	564	131	78	17	392	128	117	155	377	196	164	132	524	233	115	145	223	639	376	95	199	256	589	33	148	26	748	638	318	229	387	79	38	217	457	537	53	84	606	46	478	307
194	283	39	48	41	261	356	60	173	338	114	10	81	180	109	23	403	54	83	8	564	131	67	17	203	110	70	281	247	128	288	155	112	274	290	441	196	45	164	18	90	353	265	524	115	233	145	82	177	209	208
103	60	81	180	23	403	54	285	131	67	203	392	70	247	128	155	112	274	290	196	45	164	90	132	353	265	233	82	177	209	208	376	21	134	197	181	95	589	256	148	246	16	26	359	504	331	748	638	80	220	318
46	83	54	460	8	288	377	441	524	125	318	238	79	235	478	144	30	268	168	736	212	336	276	322	729	160	57	259	407	266	183	402	400	22	545	277	724	361	735	68	739	704	470	427	782	140	147	370	519	267	863
143	283	76	709	41	356	60	173	114	10	81	180	109	23	403	54	8	285	564	131	78	67	17	203	392	110	281	247	128	117	288	155	317	112	377	274	290	196	441	45	164	18	90	132	353	265	524	233	115	145	82
93	76	709	48	649	142	109	564	285	78	392	110	70	281	117	288	317	45	164	18	132	524	115	145	223	639	197	199	589	33	504	125	220	318	229	79	13	38	457	53	84	46	606	478	512	689	788	165	30	295	340
69	76	709	176	48	356	114	142	109	54	285	564	78	17	392	128	117	288	317	377	290	441	45	18	132	353	524	115	145	82	177	209	223	639	208	376	21	197	199	33	246	331	125	80	333	220	107	229	238	387	79
10	39	41	649	60	338	460	8	285	78	392	110	70	281	317	112	290	196	132	233	115	145	223	639	134	199	256	33	246	16	26	359	331	748	125	638	318	107	229	238	13	38	217	235	457	537	341	53	84	606	478
138	39	261	356	60	114	10	81	109	23	403	54	83	564	131	67	17	203	110	281	247	128	288	155	317	377	274	290	441	196	45	164	18	353	265	524	115	233	145	82	177	209	376	21	134	197	181	95	199	256	33
171	283	76	709	48	261	649	356	60	173	114	10	81	180	109	23	403	83	54	460	8	285	131	67	17	203	392	110	70	281	247	128	117	288	155	317	112	377	274	290	196	441	45	164	18	90	132	353	265	524	233
