id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19	top_20	top_21	top_22	top_23	top_24	top_25	top_26	top_27	top_28	top_29	top_30	top_31	top_32	top_33	top_34	top_35	top_36	top_37	top_38	top_39	top_40	top_41	top_42	top_43	top_44	top_45	top_46	top_47	top_48	top_49
170	283	709	261	564	338	23	67	203	41	173	247	83	78	155	460	189	274	45	209	110	403	81	16	524	639	117	290	10	90	177	70	131	53	95	353	333	142	54	265	498	141	82	197	318	115	376	18	589	312	441
91	709	338	83	78	460	649	53	498	70	117	197	312	142	642	217	504	26	125	246	589	121	79	342	183	75	144	471	462	112	229	729	61	638	223	126	478	87	863	305	216	317	235	336	108	793	457	289	399	331	195
179	283	76	114	709	23	176	109	203	564	60	67	209	356	83	180	16	290	78	460	53	110	649	265	10	524	197	639	70	333	312	288	117	54	164	642	217	340	142	148	256	44	318	246	18	65	141	37	92	17	125
16	114	176	109	203	128	247	356	155	209	274	189	78	460	403	90	177	53	524	131	353	639	117	197	82	142	54	318	115	537	340	141	441	589	307	65	37	92	532	387	145	21	253	450	25	519	543	229	112	183	544
57	283	709	176	23	338	564	60	173	155	209	45	189	78	460	110	403	649	53	95	524	639	498	117	288	333	197	54	142	312	164	504	340	217	141	148	256	26	44	17	441	125	246	589	307	281	387	79	253	342	282
99	283	76	39	709	176	109	338	564	60	173	356	209	45	83	189	78	177	90	110	403	95	649	353	10	48	524	498	639	82	333	312	288	117	54	217	537	142	340	256	148	318	115	141	18	37	65	17	92	181	233
223	283	76	114	709	261	176	109	23	60	41	128	78	155	460	209	45	189	649	81	16	524	639	90	177	53	117	95	131	353	288	333	265	142	498	197	82	318	141	115	312	376	164	208	18	441	217	504	589	537	125
9	76	709	23	564	128	155	78	649	403	53	95	10	131	524	639	117	498	54	142	376	312	164	318	115	340	217	537	148	256	17	26	44	589	307	92	233	402	387	79	145	450	282	519	543	144	229	75	394	295	462
194	283	114	39	261	564	109	60	338	67	23	41	203	173	356	83	128	48	247	110	403	189	155	524	274	45	209	10	180	288	70	81	16	54	333	290	90	177	131	353	115	141	543	53	95	125	318	441	265	18	498
103	60	67	23	203	128	247	403	155	189	274	45	209	180	81	16	70	290	90	177	131	54	353	53	95	265	589	318	498	82	197	376	543	312	164	402	229	208	121	532	285	537	341	217	112	144	504	340	148	642	450
46	83	460	524	288	54	318	125	441	402	79	519	183	144	361	322	729	266	478	57	735	863	305	377	407	168	235	640	470	336	739	212	277	724	147	276	268	545	421	259	8	370	736	427	400	297	30	704	846	22	140
143	283	76	709	114	109	23	564	60	67	203	41	173	128	247	356	78	155	189	209	45	274	180	110	403	81	16	639	290	524	117	90	10	177	53	131	95	353	288	265	333	498	54	82	197	376	141	318	312	115	164
