id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19	top_20	top_21	top_22	top_23	top_24	top_25	top_26	top_27	top_28	top_29	top_30	top_31	top_32	top_33	top_34	top_35	top_36	top_37	top_38	top_39	top_40	top_41	top_42	top_43	top_44	top_45	top_46	top_47	top_48	top_49
170	283	41	261	81	173	709	23	10	131	338	67	8	83	142	403	203	274	54	247	281	564	18	78	90	155	290	110	70	353	45	285	196	460	177	209	21	82	265	117	112	95	392	317	164	145	115	376	377	181	441
91	338	83	246	331	26	197	504	79	342	638	53	70	642	709	462	561	498	217	793	61	75	312	729	244	126	108	382	471	235	183	649	449	72	87	291	142	293	107	7	195	399	772	125	121	478	150	118	563	198	234
179	283	23	180	203	356	290	209	265	109	114	238	10	148	164	253	246	60	359	387	256	83	16	165	331	313	67	197	201	80	37	340	25	92	362	5	17	574	8	501	18	53	76	176	642	91	54	288	424	379	77
16	176	356	114	131	109	128	203	274	247	90	155	403	54	142	353	196	177	209	21	82	78	238	253	115	145	134	460	387	441	189	112	197	165	524	392	537	307	117	317	748	37	377	201	318	80	340	574	53	5	25
57	283	23	155	45	173	209	95	60	148	164	338	253	246	359	256	387	165	26	176	313	197	282	17	189	504	394	307	201	79	340	362	342	638	288	54	501	53	91	281	403	110	462	4	564	498	217	544	308	44	212
99	283	39	356	173	90	109	45	209	10	177	95	60	21	82	353	338	181	83	148	233	76	253	176	256	331	8	17	313	537	18	48	282	189	394	201	37	288	54	80	340	92	362	5	638	342	403	501	110	91	462
223	283	41	76	176	261	81	709	60	114	23	109	649	131	8	142	128	288	78	17	18	90	155	285	460	353	45	392	117	112	196	317	177	233	209	21	82	265	95	377	164	145	115	376	199	441	181	223	524	132	220
9	76	23	131	10	709	128	155	649	403	17	54	196	95	564	233	164	376	142	148	256	115	387	78	145	26	165	282	537	313	307	199	524	394	79	201	392	638	340	5	117	92	53	748	489	318	91	501	377	462	46
194	48	112	30	734	268	39	283	567	457	558	689	41	60	543	261	838	0	296	94	564	1006	403	606	173	114	400	8	281	782	518	356	273	288	54	299	109	70	199	67	338	10	110	512	185	144	748	336	145	598	386
103	285	392	60	132	112	84	403	788	589	30	67	734	54	268	457	70	229	81	689	606	567	543	23	748	200	180	838	413	144	220	0	558	512	13	131	107	518	318	341	293	782	128	443	296	736	22	168	478	295	121
