id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19	top_20	top_21	top_22	top_23	top_24	top_25	top_26	top_27	top_28	top_29	top_30	top_31	top_32	top_33	top_34	top_35	top_36	top_37	top_38	top_39	top_40	top_41	top_42	top_43	top_44	top_45	top_46	top_47	top_48	top_49
170	709	283	142	41	261	285	460	78	317	117	392	338	403	223	112	564	377	84	70	173	281	38	639	788	589	110	229	33	216	457	54	689	10	67	734	8	524	23	83	145	199	30	268	131	441	606	485	115	18	107
91	709	649	142	460	78	317	117	392	338	132	223	112	70	84	589	38	788	229	33	216	689	457	734	83	30	268	125	107	485	567	144	478	0	512	200	235	518	259	1006	336	197	121	413	293	838	22	680	94	558	26
179	709	176	649	76	283	142	285	460	78	317	60	117	392	356	114	132	223	564	112	70	377	109	84	110	589	639	38	788	229	17	33	216	54	10	67	457	689	8	288	23	524	734	83	145	199	441	30	268	125	606
16	176	142	460	78	317	117	392	356	114	132	403	223	112	377	84	109	788	38	589	639	229	216	33	457	689	54	734	524	30	145	131	441	485	115	748	203	567	155	478	0	247	318	543	141	128	235	196	1006	274	259
57	709	176	649	283	142	285	460	78	60	117	392	338	132	403	223	564	112	377	84	173	281	110	589	639	38	788	17	216	33	54	689	457	288	524	734	23	145	199	30	441	606	125	107	485	567	155	144	164	512	200
99	709	176	649	76	283	48	39	142	285	78	317	60	117	338	392	356	132	403	223	564	112	377	84	109	173	110	589	639	38	788	229	17	33	216	54	10	689	457	8	288	524	734	83	145	199	30	441	268	125	606
223	709	176	649	76	283	142	41	261	460	285	78	317	117	60	392	114	132	223	112	377	84	109	589	639	38	788	229	216	33	17	689	8	288	734	524	23	145	199	30	131	441	268	606	125	115	18	485	81	567	46
9	709	649	76	142	78	117	392	132	223	403	564	377	84	38	639	788	589	229	216	33	17	457	54	10	734	524	30	23	268	145	199	131	606	485	115	567	748	46	144	155	0	478	200	164	543	318	1006	518	128	259
194	48	283	39	41	261	60	338	112	356	114	403	564	70	173	109	281	689	457	110	734	30	17	268	54	67	10	8	288	524	606	199	145	83	23	567	441	131	125	115	107	748	18	0	144	81	543	1006	46	203	518
103	285	392	60	132	403	112	84	70	788	229	589	689	457	734	54	67	30	268	23	131	606	567	107	748	81	144	203	46	200	0	155	478	512	543	247	518	164	318	180	128	196	220	13	274	45	208	197	121	177	376
46	460	377	54	8	288	524	30	268	83	441	125	144	478	318	259	235	336	276	168	736	22	400	160	782	79	212	266	57	427	238	305	322	402	68	704	470	729	724	147	735	407	863	519	949	20	545	421	271	517	277
143	709	76	283	41	285	78	317	117	392	60	356	114	132	112	403	564	377	84	38	788	639	109	589	173	229	281	110	33	457	17	54	67	10	8	288	30	268	524	23	145	199	441	131	606	485	125	567	107	115	18
93	709	649	76	48	142	285	78	317	117	392	132	223	564	70	84	109	281	639	589	38	788	110	229	216	33	689	457	288	734	524	145	199	30	606	125	115	18	485	567	46	478	0	164	512	200	318	141	518	45	1006
69	709	176	76	48	142	285	78	317	117	392	356	114	132	223	564	377	84	109	788	38	639	229	33	216	17	457	54	288	734	524	30	199	145	268	441	606	125	485	115	107	18	567	46	144	0	512	200	543	128	235
10	649	39	41	285	460	78	317	60	392	338	132	223	112	70	84	281	38	110	639	788	229	216	33	689	457	8	734	145	199	268	606	125	115	107	485	748	567	144	478	0	512	200	318	141	235	196	518	336	13	276
138	39	317	261	60	356	114	403	377	564	229	109	33	281	110	457	17	54	67	10	288	524	199	145	23	83	441	131	115	107	18	81	203	0	200	155	478	543	247	164	318	141	336	128	196	13	274	220	45	197	177
171	709	649	76	283	48	261	285	460	317	117	392	60	356	114	132	223	403	112	377	84	70	109	173	38	788	281	229	110	216	33	17	457	689	54	10	67	8	288	734	524	23	268	145	83	131	441	125	485	18	107
