id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19	top_20	top_21	top_22	top_23	top_24	top_25	top_26	top_27	top_28	top_29	top_30	top_31	top_32	top_33	top_34	top_35	top_36	top_37	top_38	top_39	top_40	top_41	top_42	top_43	top_44	top_45	top_46	top_47	top_48	top_49
170	709	117	460	142	285	78	283	317	392	84	223	788	41	38	216	112	261	377	30	639	403	268	457	689	734	229	33	567	485	338	70	589	564	54	0	110	200	1006	281	296	524	144	518	199	606	782	413	173	145	8
91	649	709	460	117	142	317	78	392	84	132	223	788	112	38	216	689	30	338	457	268	70	229	485	33	589	734	567	0	200	1006	518	144	107	413	296	259	782	478	94	273	400	125	769	83	512	299	271	1125	838	93
179	76	709	649	176	460	283	117	142	317	285	392	78	84	132	60	223	788	112	30	216	38	689	377	457	70	268	229	639	485	589	564	33	567	356	114	54	734	110	0	17	518	8	199	67	524	144	109	107	200	1006
16	176	460	117	142	317	392	78	84	788	223	132	216	30	112	38	229	689	403	377	457	639	485	33	589	567	734	0	54	114	356	1006	296	413	524	543	259	782	145	478	400	109	748	93	769	271	299	318	441	360	661
57	649	709	176	460	117	142	283	285	392	78	84	132	223	60	788	112	216	30	38	689	403	377	457	338	639	485	589	33	564	567	734	54	110	281	200	1006	518	17	144	199	524	173	606	296	413	288	145	107	259	782
99	76	709	649	176	48	117	142	283	317	285	78	39	392	84	132	223	60	788	112	216	30	689	38	403	229	338	457	377	268	639	33	485	567	564	589	734	54	110	356	0	200	1006	518	107	199	17	524	173	8	782
223	76	649	709	176	460	117	142	317	283	285	392	78	84	132	60	41	223	112	261	788	216	30	38	229	689	377	268	639	485	589	567	33	734	114	1006	200	144	524	199	296	17	518	782	109	145	288	8	259	606	273
9	76	649	709	117	142	392	78	84	223	132	216	788	30	38	229	377	268	457	639	403	485	567	734	33	589	564	0	54	1006	200	518	296	413	606	273	543	94	199	144	17	524	259	400	145	299	478	748	558	1125	271
194	48	30	112	283	268	689	39	457	734	567	41	60	403	261	1006	0	338	70	518	296	564	94	543	54	606	400	273	114	782	110	356	299	281	1125	558	271	144	838	1178	199	524	288	8	17	145	661	878	67	107	512
103	285	392	84	788	132	112	30	229	689	60	268	457	403	734	567	589	70	200	0	54	296	518	543	782	144	606	413	273	769	67	299	107	1125	748	271	512	93	838	478	558	570	443	318	46	1178	878	3	22	625	910
46	460	30	268	377	54	782	259	400	524	288	144	8	271	478	125	441	318	83	808	22	336	1111	417	1151	276	235	168	736	266	862	57	305	160	668	79	20	402	322	519	309	1126	863	363	147	810	427	729	815	421	212
143	76	709	117	317	392	285	78	84	283	788	38	132	112	30	229	457	377	41	60	268	639	403	33	485	589	567	0	200	564	1006	54	110	114	518	296	356	543	281	94	413	273	606	769	782	400	144	259	199	524	107
93	76	649	709	48	117	142	317	285	78	392	84	132	223	788	216	38	30	689	229	457	639	70	485	33	589	734	567	564	0	110	200	1006	281	518	199	296	524	606	413	259	782	288	109	145	273	478	400	769	299	125
69	76	709	176	48	117	142	317	285	392	78	84	788	223	132	30	216	38	229	268	457	377	639	33	567	485	734	564	0	54	114	356	200	1006	518	296	199	606	144	524	543	17	107	273	782	288	145	259	109	94	400
10	649	460	317	285	78	392	39	84	132	41	223	788	60	112	216	38	689	268	457	338	229	639	70	485	33	734	567	110	0	200	281	518	144	199	8	145	606	296	413	782	107	478	273	94	748	400	769	125	318	141
138	317	39	229	377	33	457	60	403	261	564	0	200	114	54	296	543	356	110	281	782	769	273	1125	199	524	17	288	67	107	145	558	109	443	271	478	1178	878	10	441	318	141	360	83	570	463	18	625	808	66	598
171	76	649	709	48	460	117	285	317	283	392	84	132	788	223	38	112	216	60	377	261	457	689	268	229	403	70	567	33	485	734	54	114	356	200	110	296	518	281	144	413	782	543	524	17	8	109	145	288	67	273
108	76	649	709	176	48	460	317	285	78	392	84	39	132	60	223	216	38	788	112	377	403	30	689	229	338	639	70	33	485	734	589	564	567	0	200	144	1006	281	518	109	524	199	8	145	173	288	296	606	413	782
224	649	76	709	48	176	117	142	285	78	788	112	30	132	377	229	283	457	268	639	734	33	39	485	589	1006	567	60	41	261	403	0	296	518	200	94	70	273	338	606	259	413	564	543	400	54	114	110	281	1125	782
101	649	76	709	460	117	317	285	84	132	788	216	38	30	689	229	639	457	268	403	485	734	567	589	70	200	54	0	1006	110	518	296	524	543	606	199	782	413	400	273	94	769	107	748	478	512	125	1125	299	318	570
80	76	48	460	117	142	392	84	132	788	261	38	216	30	689	229	377	639	485	567	734	564	114	54	0	110	281	518	1006	200	606	17	296	8	173	144	288	543	145	782	273	94	400	271	769	299	512	93	441	1125	838
166	649	176	460	78	392	283	84	39	788	223	216	38	41	112	30	261	229	689	268	33	485	567	70	589	200	0	1006	281	296	518	524	8	259	199	606	400	107	94	273	769	748	478	512	1125	318	299	93	10	271	46
15	76	460	142	285	392	84	223	788	30	261	229	403	457	639	33	485	338	734	567	54	0	1006	200	518	296	199	259	17	543	782	273	400	94	107	478	299	512	1125	271	93	318	878	141	558	838	46	83	661	3	1178
76	76	649	709	176	142	317	285	392	78	84	132	41	788	216	30	377	229	457	268	639	338	70	33	485	734	589	567	356	0	200	1006	281	518	199	296	524	67	8	606	109	413	173	259	543	94	273	400	769	478	512
