id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19	top_20	top_21	top_22	top_23	top_24	top_25	top_26	top_27	top_28	top_29	top_30	top_31	top_32	top_33	top_34	top_35	top_36	top_37	top_38	top_39	top_40	top_41	top_42	top_43	top_44	top_45	top_46	top_47	top_48	top_49
170	283	41	261	81	23	173	131	709	203	338	247	10	83	196	155	265	403	45	290	274	90	8	177	67	21	134	54	376	142	181	164	110	281	246	209	82	256	18	197	564	16	387	353	331	238	80	148	333	441	208
91	338	709	83	246	197	331	26	649	217	638	79	142	504	53	70	642	342	312	498	61	78	125	462	112	107	729	235	75	561	244	117	460	478	87	317	108	392	183	126	382	793	449	471	336	399	72	7	121	291	589
179	283	23	356	180	203	114	60	76	109	176	265	10	290	83	709	246	209	164	17	256	238	387	197	80	8	16	67	331	148	288	165	54	110	253	18	217	359	44	340	5	313	92	333	501	649	37	564	441	201	25
16	356	176	114	131	203	109	247	128	196	155	274	90	403	177	21	134	209	54	82	197	387	238	353	80	142	441	165	537	253	145	524	340	5	78	92	115	501	37	189	112	201	574	748	318	25	362	117	91	317	544
57	283	23	60	173	176	338	155	45	709	17	246	209	164	403	256	387	197	288	148	54	26	95	110	165	281	253	649	217	359	44	333	638	340	79	313	564	282	394	441	501	504	189	201	4	142	145	362	524	91	544
99	283	39	356	60	76	173	176	109	338	48	10	45	83	709	90	177	21	181	17	233	209	403	8	82	256	80	288	331	353	148	54	95	110	18	649	537	253	217	333	638	340	5	564	313	92	282	441	394	501	37
223	283	41	261	81	76	176	60	114	23	131	109	709	128	196	155	265	45	90	649	17	8	177	21	288	134	233	376	181	164	142	246	209	82	197	18	16	387	353	80	148	208	333	441	26	95	165	78	145	524	537
9	76	23	131	709	10	128	196	155	403	17	649	376	233	164	54	256	387	142	148	564	26	95	165	537	217	638	145	44	524	340	78	5	79	313	282	92	394	115	501	201	4	748	117	318	199	91	53	392	46	312
194	283	39	48	41	261	60	114	356	173	109	338	81	403	112	10	8	83	23	288	180	17	281	54	564	67	131	110	457	268	30	441	689	203	18	524	145	247	734	333	606	125	748	115	128	199	196	70	155	220	567
103	60	81	23	180	131	203	403	247	128	196	67	155	54	285	265	112	274	290	90	45	392	177	21	233	134	164	376	181	82	209	246	256	197	353	70	331	16	748	589	220	387	208	148	238	80	132	318	107	26	95
46	83	8	288	54	238	441	79	524	318	125	460	212	407	235	377	729	478	160	739	168	277	545	336	322	736	183	361	266	370	57	276	140	144	724	470	704	735	68	621	147	267	772	402	22	268	159	679	623	665	30
143	283	41	76	81	356	60	114	173	709	23	180	109	131	203	10	247	128	196	403	155	8	17	265	288	290	274	45	90	67	54	177	21	281	134	110	233	376	164	181	564	78	18	246	209	82	256	441	197	333	353
93	76	109	48	709	45	164	288	197	110	281	649	18	165	564	340	79	92	142	504	145	524	4	115	220	70	544	53	342	312	498	318	65	46	61	78	199	74	125	634	215	381	13	729	285	40	6	345	424	379	455
69	356	76	114	176	109	48	709	128	45	290	177	21	17	376	246	209	288	82	197	387	238	54	80	331	353	208	18	564	333	142	537	441	217	253	44	5	79	313	92	394	145	501	37	524	201	115	220	574	25	362
10	39	41	60	338	196	290	134	233	246	8	256	238	16	331	110	26	281	649	537	217	359	638	340	282	37	228	145	4	115	91	70	53	642	312	498	65	318	748	212	407	61	74	199	78	634	125	112	381	462	107
138	39	261	60	356	114	81	109	23	131	10	83	403	203	17	288	247	67	317	54	281	128	196	377	110	155	564	265	18	274	441	290	45	333	233	177	21	145	524	134	164	115	376	181	33	82	199	353	209	256	246
171	283	261	81	76	356	23	60	114	180	131	173	48	203	109	709	247	10	128	196	83	155	265	45	290	274	90	17	177	403	134	8	67	376	233	288	649	181	164	246	209	82	54	256	197	110	387	281	238	16	331
108	39	23	76	131	60	173	176	109	48	247	338	128	196	709	10	155	265	290	90	177	21	403	8	181	233	164	209	82	288	256	197	387	16	80	148	649	281	18	26	95	564	537	217	359	44	638	340	79	92	282
224	283	76	39	176	48	41	709	261	649	60	114	356	142	173	78	109	81	338	117	285	377	403	10	112	83	23	8	180	288	639	17	131	281	54	67	33	564	110	589	132	203	457	441	18	247	268	30	524	145	128
101	76	81	709	23	180	131	649	10	203	247	403	128	196	155	265	54	274	290	90	45	110	177	285	21	134	117	233	317	441	164	376	333	181	460	246	209	82	256	197	524	353	16	331	639	387	238	80	208	148	70
80	261	114	76	173	48	265	83	177	17	233	209	82	8	16	288	353	54	110	281	18	638	333	5	564	282	441	37	189	25	142	145	91	115	220	312	65	174	360	215	489	13	345	455	231	207	739	628	344	277	764
166	283	39	41	261	176	81	23	180	131	649	10	203	83	247	8	128	196	155	265	78	281	274	290	45	177	21	134	233	112	164	376	181	333	392	460	246	209	256	197	524	353	16	331	387	238	80	208	148	70	748
15	261	76	23	338	247	83	128	155	403	265	17	45	90	177	21	142	134	54	164	246	209	256	197	238	148	208	285	95	115	537	217	359	638	460	392	44	79	313	5	394	639	199	318	37	501	504	107	228	201	46
76	41	81	356	76	131	176	173	109	247	338	709	128	196	10	265	90	21	8	181	67	164	246	209	82	256	197	649	238	16	353	148	281	208	26	95	165	333	142	537	359	638	5	79	313	282	92	394	501	524	37
148	283	39	41	81	261	180	131	173	176	109	48	338	128	196	10	265	290	274	90	177	134	17	376	181	233	403	8	164	209	82	256	238	197	387	288	16	331	148	26	281	95	649	18	537	253	217	333	564	638	340
37	83	67	281	197	238	80	18	208	638	79	282	37	285	228	4	318	25	317	544	46	392	107	642	312	65	235	341	634	729	40	532	75	6	424	77	455	348	207	244	741	87	322	545	108	69	126	449	121	162	276
18	283	39	41	81	48	356	60	114	173	23	109	180	131	338	203	10	83	247	403	142	128	196	8	17	155	288	265	67	274	290	54	90	45	281	110	177	21	134	564	233	18	285	117	376	164	441	181	112	333	246
241	76	180	48	338	45	290	8	21	649	376	164	54	82	256	281	387	238	16	142	80	208	564	26	95	537	217	359	638	44	524	78	340	79	5	282	394	501	285	504	4	117	317	362	91	125	544	360	53	46	642
118	356	114	60	338	196	48	155	290	274	709	233	246	17	164	403	8	238	67	353	288	95	54	165	110	281	537	217	649	5	79	394	282	564	441	37	189	4	145	142	91	524	115	498	65	61	318	634	46	462	174
