id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19	top_20	top_21	top_22	top_23	top_24	top_25	top_26	top_27	top_28	top_29	top_30	top_31	top_32	top_33	top_34	top_35	top_36	top_37	top_38	top_39	top_40	top_41	top_42	top_43	top_44	top_45	top_46	top_47	top_48	top_49
170	283	41	261	709	173	81	10	23	338	131	83	203	247	54	155	67	8	274	290	110	164	196	90	403	82	45	564	265	209	353	142	177	376	18	197	70	208	21	181	134	441	285	148	16	95	115	281	460	145	256
91	338	83	197	709	246	26	504	638	79	331	53	217	70	642	312	498	462	61	649	75	729	793	342	183	235	561	108	244	87	142	125	471	449	382	126	234	72	460	107	291	478	118	150	121	144	392	7	195	293	198
179	283	180	23	356	203	10	114	290	109	164	209	265	60	83	197	148	17	238	16	176	246	67	256	387	54	359	80	253	76	8	331	53	217	110	44	709	340	5	165	313	18	201	574	25	642	362	312	91	92	37
16	356	176	114	131	109	203	247	128	155	274	54	196	90	82	209	353	177	197	21	403	134	441	238	387	142	80	253	115	145	53	537	189	5	340	165	307	574	460	524	201	25	91	362	318	37	92	235	392	748	544
57	283	23	173	155	338	45	164	209	60	197	95	148	17	246	26	256	176	504	387	638	359	54	253	79	53	217	110	44	340	165	709	313	189	201	282	394	307	362	312	498	91	4	403	212	501	564	544	441	462	75
99	283	39	356	173	10	338	109	60	45	90	82	209	83	177	353	176	21	181	17	233	95	76	148	54	256	709	8	638	80	253	110	331	217	537	18	340	5	313	189	282	201	394	403	564	312	362	48	498	91	441
223	283	41	261	76	176	709	81	114	60	23	109	131	649	17	128	8	155	164	196	142	90	82	45	265	353	209	18	177	376	441	233	197	208	21	285	181	134	460	115	145	288	16	148	95	392	78	246	504	26	387
9	23	76	10	131	709	128	155	17	54	164	196	376	233	649	403	564	95	148	256	26	387	638	79	115	142	53	145	217	537	44	340	5	313	165	282	307	394	201	524	312	91	498	92	199	318	212	4	46	501	748
194	48	39	283	112	41	30	261	60	457	734	173	356	114	268	689	567	403	564	54	8	338	543	10	109	558	1006	110	70	0	606	17	281	67	838	83	441	296	288	145	199	115	94	125	524	400	782	748	144	512	518
103	60	285	392	54	403	112	67	132	589	70	81	84	180	229	788	23	457	30	131	689	734	268	748	606	203	128	247	543	220	144	155	318	274	567	512	341	164	290	196	107	353	46	90	0	82	233	265	13	478	838
46	83	54	8	238	441	79	288	524	212	318	235	460	407	125	729	183	276	277	736	160	322	361	545	144	478	168	739	377	140	57	266	370	336	68	267	735	772	724	402	159	147	621	470	596	679	704	623	167	665	767
143	283	41	76	709	356	173	114	60	10	109	81	180	54	8	23	285	17	67	403	131	564	78	110	392	117	203	247	128	377	155	441	18	274	281	112	290	145	115	288	164	196	317	90	82	353	265	45	639	524	209
93	109	76	45	164	709	197	110	504	48	79	18	564	53	340	70	165	115	312	145	498	281	92	288	649	4	544	74	220	65	61	524	424	379	46	318	729	793	342	40	142	199	634	348	707	764	455	108	450	215	125
69	356	114	176	109	76	709	128	290	45	17	82	54	209	353	177	376	48	197	208	21	246	564	238	18	387	80	253	79	331	441	53	217	537	115	44	5	145	313	288	574	394	201	142	25	642	362	498	92	220	37
10	41	39	338	60	290	196	134	233	8	16	238	256	246	26	110	638	359	331	53	217	537	340	228	70	282	642	312	115	91	498	145	4	37	281	212	649	462	74	65	61	75	379	407	729	793	235	318	183	634	69
138	39	261	356	60	114	10	109	377	54	403	564	83	317	17	67	110	33	81	441	281	23	229	288	145	18	457	115	131	524	199	203	128	247	220	155	543	318	274	164	341	290	196	333	360	353	107	82	233	489	265
171	283	261	356	81	180	173	23	114	10	131	76	60	709	109	203	247	128	83	155	274	290	17	54	164	48	196	67	90	45	82	8	265	209	353	177	376	110	197	208	181	134	233	403	649	148	16	18	256	246	238
108	39	23	173	131	10	247	338	109	60	128	176	155	76	290	709	164	196	90	82	265	209	177	197	21	8	181	233	95	148	16	48	256	26	504	387	638	359	80	18	403	564	79	53	217	70	537	44	340	189	228
224	709	76	649	176	48	142	78	285	117	377	39	33	283	788	132	112	30	41	261	60	589	639	229	457	734	173	268	114	356	567	403	564	54	8	338	543	10	109	200	485	1006	413	259	0	110	70	606	838	281	17
